2720,自动化测试,Automated Testing
2719,性能测试,Performance Testing
7821,游戏测试,Game Testing
2816,通信测试工程师,Telecommunication Test Engineer
A0JV,测试经理,Test manager
7309,算法工程师,Algorithm Engineer
7307,机器视觉工程师,Machine Vision Engineer
7301,机器学习工程师,Machine learning Engineer
7302,深度学习工程师,Deep learning Engineer
7120,智能驾驶工程师,Intelligent Driving Engineer
7308,自然语言处理(NLP),Natural Language Processing (NLP)
7306,语音识别工程师,Speech Recognition Engineer
A0JU,前端开发,Front-end Development
7701,android,android
7702,ios,ios
7811,U3D,Unity3d
7823,UE4,UE4
7810,cocos,cocos
0131,爬虫工程师,Crawler Engineer
7501,数据分析师,Data Analyst
7502,数据分析经理/主管,Data Analysis Manager
7503,ETL开发工程师,ETL Development Engineer
7506,数据采集工程师,Data Acquisition Engineer
7508,数据治理工程师,Data Governance Engineer
7504,BI工程师,BI Engineer
7512,数据标注师,Data Annotation Engineer
7507,数据建模工程师,Data Modeling Engineer
7505,数据仓库工程师,Data Warehouse Engineer
7511,密码技术应用员,Cryptographer
7510,电子数据取证分析师,Digital Forensics Analyst
7809,游戏开发工程师,Game Development Engineer
8401,售前技术支持工程师,Pre-sales technical support engineer
8402,售后技术支持工程师,After-sales technical support engineer
8403,售前技术支持经理/主管,Pre-sales Technical Support Manager/Supervisor
8404,售后技术支持经理/主管,After-sales Technical Support Manager/Supervisor
0601,人事总监,Human Resources Director
0602,人事经理,Human Resources Manager
0611,HRBP,Human Resources BUSINESS PARTNER
0603,人事主管,Human Resources Supervisor
0604,人事专员,Human Resources Specialist
0605,人事助理,Human Resources Assistant
0626,招聘专员/助理,Recruiting Specialist/Assistant
0606,招聘经理/主管,Recruiting Manager/Supervisor
0609,培训经理/主管,Training Manager/Supervisor
0610,培训专员/助理/培训师,Training Specialist/Assistant/Trainer
0629,企业文化/员工关系/工会管理,Corporate Culture/Employee Labor Union Relations
0607,薪资福利经理/主管,Compensation & Benefits Mgr./Supervisor
0608,薪资福利专员/助理,Compensation & Benefits Specialist/Assistant
0627,绩效考核经理/主管,Performance Assessment Manager/Supervisor
0628,绩效考核专员/助理,Performance Assessment Specialist/Assistant
0630,人力资源信息系统专员,HRIS Specialist
0635,劳务派遣专员,Labor dispatch
2301,行政总监,Admin Director
2302,行政经理/主管/办公室主任,Admin Manager/Supervisor/Office Manager
2303,行政专员/助理,Admin Staff/Assistant
A0K9,文员,Clerk
2305,前台接待/总机/接待生,Receptionist
2306,后勤,Office Support
2304,经理助理/秘书,Executive Assistant/Secretary
2310,党工团干事,The Party Working Group Director
0444,首席财务官CFO,Chief Financial Officer CFO
0401,高级财务总监/财务总监,Finance Controller / Director
0402,财务经理,Finance Manager
0445,财务顾问,Finance Consultant
A0KF,财务专员,Finance staff
0406,财务分析经理/主管,Financial Analysis Manager/Supervisor
0407,财务分析员,Financial Analyst
0446,统计员,Statistician
0403,财务主管/总账主管,Finance Supervisor
0408,成本经理/成本主管,Cost Accounting Manager/Supervisor
